מספר הגרלה,סוג הגרלה,זכאות,סיום הרשמה,יישוב,קבלן,דירות בהגרלה,נרשמים בהגרלה,מחיר למטר,מענק,הערות,יחס נרשמים/דירות,אחוז סיכוי משוער
2714,1,חסרי דיור,2026/06/22,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",158,13504,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,85.47,1.17%
2744,1,חסרי דיור,2026/06/22,רכסים,"שי-חי יזמות והשקעות בע""מ",83,7170,"₪10,766.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,86.39,1.16%
2715,1,חסרי דיור,2026/06/22,מעלה אדומים,"בניחותא בע""מ",155,13439,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,86.70,1.15%
2698,1,חסרי דיור,2026/06/22,קריית גת,"יהלום ע.ש בע""מ",207,18197,"₪10,562.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,87.91,1.14%
2676,1,חסרי דיור,2026/06/22,בית שמש,"שי-חי יזמות והשקעות בע""מ",121,10919,"₪18,478.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: 25% ממחיר הדירה המוצג (כולל מע&quot;מ) עד 550...,90.24,1.11%
2677,1,חסרי דיור,2026/06/22,בית שמש,"עמרם אברהם חברה לבנין בע""מ",118,10929,"₪18,428.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: 25% ממחיר הדירה המוצג (כולל מע&quot;מ) עד 550...,92.62,1.08%
2738,1,חסרי דיור,2026/06/22,מזכרת בתיה,"בסט ייזום בע""מ",149,13977,"₪15,622.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,93.81,1.07%
2699,1,חסרי דיור,2026/06/22,קריית גת,"אחים אוזן חברה לבניה בע""מ",193,18298,"₪10,223.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,94.81,1.05%
2745,1,חסרי דיור,2026/06/22,רכסים,"שובל מתחמי מגורים בע""מ",74,7228,"₪10,471.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,97.68,1.02%
2700,1,חסרי דיור,2026/06/22,קריית גת,"אפי קפיטל מדף 5 בע""מ",183,18215,"₪10,274.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,99.54,1.00%
2716,1,חסרי דיור,2026/06/22,מעלה אדומים,"בניחותא בע""מ",123,13394,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,108.89,0.92%
2679,1,חסרי דיור,2026/06/22,בית שמש,"שי-חי יזמות והשקעות בע""מ",93,10720,"₪18,685.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: 25% ממחיר הדירה המוצג (כולל מע&quot;מ) עד 550...,115.27,0.87%
2678,1,חסרי דיור,2026/06/22,בית שמש,"סלם יעקב א.י. השקעות ונכסים בע""מ",93,10780,"₪18,452.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: 25% ממחיר הדירה המוצג (כולל מע&quot;מ) עד 550...,115.91,0.86%
2746,1,חסרי דיור,2026/06/22,רכסים,"סלם יעקב א.י. השקעות ונכסים בע""מ",62,7191,"₪10,768.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,115.98,0.86%
2717,1,חסרי דיור,2026/06/22,מעלה אדומים,"אפי קפיטל ומיכמן השקעות בע""מ       ",114,13405,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,117.59,0.85%
2752,1,חסרי דיור,2026/06/22,"בני עי""ש","שריקי גרופ יזמות ובניה בע""מ",57,6972,"₪13,050.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,122.32,0.82%
2721,1,חסרי דיור,2026/06/22,מעלה אדומים,"בניחותא בע""מ",98,12162,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,124.10,0.81%
2718,1,חסרי דיור,2026/06/22,מעלה אדומים,"אס אי אס (ש.נ.ח) נדל""ן בע""מ        ",107,13377,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,125.02,0.80%
2719,1,חסרי דיור,2026/06/22,מעלה אדומים,"פמה חברה להשקעות ונכסים בע""מ",103,13380,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,129.90,0.77%
2720,1,חסרי דיור,2026/06/22,מעלה אדומים,"שובל ברוך יזמות בע""מ",102,13369,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,131.07,0.76%
2739,1,חסרי דיור,2026/06/22,מזכרת בתיה,"גזית נדל""ן בע""מ",102,13836,"₪15,530.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,135.65,0.74%
2758,1,חסרי דיור,2026/06/22,בת חפר,"ארקדי קליימן בע""מ",45,6312,"₪10,759.00",₪0,יובהר כי בהגרלה זו ייחשבו כבני מקום כלל בני מקום המועצה האזורית עמק חפר &nbsp; המחיר המוצג הוא לפני הנחה. סכום ההנחה ...,140.27,0.71%
2722,1,חסרי דיור,2026/06/22,מעלה אדומים,קוטלר עדיקא חברה לבניה בעמ,82,12177,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,148.50,0.67%
2723,1,חסרי דיור,2026/06/22,מעלה אדומים,א.ל.ח.ה משכן בבני עיש,79,12132,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,153.57,0.65%
2741,1,חסרי דיור,2026/06/22,מזכרת בתיה,"אסיה סיירוס פיתוח וייזום בע""מ",88,13617,"₪15,772.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,154.74,0.65%
2740,1,חסרי דיור,2026/06/22,מזכרת בתיה,"יורו אסטייט גרופ בע""מ",88,13669,"₪15,530.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,155.33,0.64%
2681,1,חסרי דיור,2026/06/22,חדרה,"שי-חי יזמות והשקעות בע""מ",104,16459,"₪12,624.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,158.26,0.63%
2705,1,חסרי דיור,2026/06/22,קריית גת,"שמואל ברוך בונה הארץ בע""מ          ",114,18088,"₪10,301.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,158.67,0.63%
2753,1,חסרי דיור,2026/06/22,"בני עי""ש",גילת מגורים                        ,44,7043,"₪12,155.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,160.07,0.62%
2754,1,חסרי דיור,2026/06/22,"בני עי""ש","זוהר וצפריר שרבט בע""מ",42,6984,"₪12,155.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,166.29,0.60%
2724,1,חסרי דיור,2026/06/22,מעלה אדומים,"עמרם אברהם חברה לבנין בע""מ",72,12168,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,169.00,0.59%
2685,1,חסרי דיור,2026/06/22,כפר סבא,"אלמוג (כ. ד. א. י.) בע""מ",154,27545,"₪17,946.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,178.86,0.56%
2755,1,חסרי דיור,2026/06/22,"בני עי""ש","דרישטי נדל""ן בע""מ                  ",36,6806,"₪12,794.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,189.06,0.53%
2747,1,חסרי דיור,2026/06/22,בית דגן,גרופית הנדסה אזרחית ועבודות ציבוריו,98,19662,"₪15,310.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,200.63,0.50%
2686,1,חסרי דיור,2026/06/22,כפר סבא,"רמי שבירו הנדסה בניה והשקעות בע""מ",140,28282,"₪17,049.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,202.01,0.50%
2710,1,חסרי דיור,2026/06/22,נהרייה,"דקלי פסגות יזמות בע""מ              ",48,9736,"₪8,309.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,202.83,0.49%
2673,1,חסרי דיור,2026/06/22,ראשון לציון,"פרשקובסקי השקעות ובניין בע""מ",93,18929,"₪16,561.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,203.54,0.49%
2725,1,חסרי דיור,2026/06/22,מעלה אדומים,"פיקהולץ החזקות בע""מ",59,12119,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,205.41,0.49%
2730,1,חסרי דיור,2026/06/22,קדימה-צורן,"מרכז תבורי פרדס חנה בע""מ           ",82,17161,"₪14,408.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,209.28,0.48%
2682,1,חסרי דיור,2026/06/22,חדרה,"א. י. אמריקה ישראל להשקעות בע""מ",77,16599,"₪12,123.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,215.57,0.46%
2680,1,חסרי דיור,2026/06/22,רחובות,"פרץ בוני הנגב (1993) בע""מ",30,6480,"₪16,767.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,216.00,0.46%
2748,1,חסרי דיור,2026/06/22,בית דגן,גיא דורון לוי הנדסה בנייה והשקעות,91,19710,"₪14,939.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,216.59,0.46%
2687,1,חסרי דיור,2026/06/22,כפר סבא,"עמרם אברהם חברה לבנין בע""מ",126,28313,"₪16,380.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,224.71,0.45%
2706,1,חסרי דיור,2026/06/22,קריית גת,"סלם יעקב א.י. השקעות ונכסים בע""מ",78,17995,"₪10,526.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,230.71,0.43%
2688,1,חסרי דיור,2026/06/22,כפר סבא,"מגידו י.ק. יזום בע""מ",117,28024,"₪17,066.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,239.52,0.42%
2749,1,חסרי דיור,2026/06/22,בית דגן,"פרץ לוזון, בנין ופתוח בע""מ",79,19577,"₪14,827.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,247.81,0.40%
2707,1,חסרי דיור,2026/06/22,קריית גת,"ליאל יוזמה והשקעות בע""מ",72,17995,"₪10,514.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,249.93,0.40%
2731,1,חסרי דיור,2026/06/22,קדימה-צורן,"שמואל ברוך יזמות ובניה בע""מ",67,17150,"₪14,129.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,255.97,0.39%
2689,1,חסרי דיור,2026/06/22,כפר סבא,"רמי שבירו הנדסה בניה והשקעות בע""מ",111,28541,"₪15,667.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,257.13,0.39%
2690,1,חסרי דיור,2026/06/22,כפר סבא,"רן-אור הנדסה בניה והשקעות בע""מ",106,27913,"₪17,594.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,263.33,0.38%
2726,1,חסרי דיור,2026/06/22,מעלה אדומים,קוטלר עדיקא חברה לבניה בעמ,44,12127,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,275.61,0.36%
2750,1,חסרי דיור,2026/06/22,בית דגן,"מגידו י.ק. יזום בע""מ",66,19256,"₪15,506.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,291.76,0.34%
2751,1,חסרי דיור,2026/06/22,בית דגן,"י.ח. דמרי בניה ופיתוח בע""מ",65,19349,"₪15,156.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,297.68,0.34%
2732,1,חסרי דיור,2026/06/22,קדימה-צורן,"מזמור (אזולאי) לדוד קרית השרון בע""מ",55,17188,"₪13,989.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,312.51,0.32%
2674,1,חסרי דיור,2026/06/22,ראשון לציון,"ראם פרץ יזמות ונדל""ן בע""מ",55,18492,"₪16,510.00",₪0,&nbsp; המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&qu...,336.22,0.30%
2683,1,חסרי דיור,2026/06/22,חדרה,"מזמור (אזולאי) לדוד קרית השרון בע""מ",46,16146,"₪12,350.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,351.00,0.28%
2691,1,חסרי דיור,2026/06/22,כפר סבא,גיא דורון לוי הנדסה בנייה והשקעות,79,28357,"₪15,360.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,358.95,0.28%
2692,1,חסרי דיור,2026/06/22,כפר סבא,"יורו אסטייט גרופ בע""מ",73,27813,"₪17,408.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,381.00,0.26%
2684,1,חסרי דיור,2026/06/22,חדרה,"יורו אסטייט גרופ בע""מ",41,16005,"₪12,732.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,390.37,0.26%
2733,1,חסרי דיור,2026/06/22,קדימה-צורן,"בוני ישראל יזמות ואחזקה בע""מ       ",41,17160,"₪13,989.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,418.54,0.24%
2734,1,חסרי דיור,2026/06/22,קדימה-צורן,שניר לוי יזמות בנייה והשקעות ב     ,36,17094,"₪13,989.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,474.83,0.21%
2708,1,חסרי דיור,2026/06/22,קריית גת,"ורדים אדר בע""מ                     ",38,18044,"₪10,457.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,474.84,0.21%
2693,1,חסרי דיור,2026/06/22,כפר סבא,"יורו אסטייט גרופ בע""מ",57,27765,"₪17,049.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,487.11,0.21%
2735,1,חסרי דיור,2026/06/22,קדימה-צורן,"שחק גרופ י.מ יזמות נדל""ן בע""מ      ",34,17177,"₪13,779.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,505.21,0.20%
2727,1,חסרי דיור,2026/06/22,מעלה אדומים,"חמדת שומרון - יזמות בע""מ",23,12124,"₪13,800.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה: א. 25% ממחיר הדירה המוצג (כולל מע&quot;מ) ב. ...,527.13,0.19%
2694,1,חסרי דיור,2026/06/22,כפר סבא,"ניר רם הנדסה ובניה בע""מ",46,27664,"₪17,408.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,601.39,0.17%
2695,1,חסרי דיור,2026/06/22,כפר סבא,"מרכז תבורי פרדס חנה בע""מ           ",36,27657,"₪17,049.00",₪0,המחיר המוצג הוא לפני הנחה. סכום ההנחה במסלול זה עומד על הנמוך מבין אלה : א. 25% ממחיר הדירה המוצג ( כולל מע&quot;מ) ב...,768.25,0.13%
